idiom,definition
drink like a fish,To drink (especially alcohol) heavily and in excess.
drink something like lemonade,To drink something (especially an alcoholic drink) easily and in large quantities.
drop like a bad habit,To cease contact or a relationship with someone as quickly as possible.
drop like a hot potato,To get rid of or stop doing as quickly as possible.
drop like flies,"To die en masse, one after the other."
drunk as a boiled owl,Thoroughly drunk; inebriated.
drunk as a cunt,Extremely drunk.
drunk as a fiddler,Thoroughly drunk.
drunk as a fiddler's bitch,Thoroughly drunk.
drunk as a lord,Completely drunk.
drunk as an owl,Thoroughly drunk.
drunk as a piper,Thoroughly drunk.
drunk as a skunk,Highly inebriated.
drunk as a sow,Thoroughly drunk.
drunk as a wheelbarrow,Thoroughly drunk.
dry as a bone,completely dry; totally dry
dry as a dead dingo's donger,"Very dry, extremely dry."
dry as a nun's nasty,Very dry.
dry as dust,Very dull or boring.
dull as dishwater,Boring; ordinary; exceedingly dull.
dumb as a bag of hammers,Remarkably stupid.
dumb as a box of rocks,Very stupid.
dumb as a doorknob,Very stupid.
dumb as a doornail,Irrefutably or unquestionably dumb.
dumb as a fish,Utterly mute; never speaking.
dumb as an ox,Stupid.
dumb as a post,Utterly mute; lacking the ability to speak.
dumb as a rock,Very stupid; dumb as a post.
dumb as dirt,Extremely stupid.
dumb as nails,Very dumb (stupid).
dumb like a fox,Very stupid or foolish.
easy as 123,Extremely easy
easy as falling off a log,Very easy.
easy as pie,Very easy.
eat like a bird,To eat in small amounts rather than in a single full meal.
eat like a horse,To eat large amounts of food.
eat like an animal,"To eat large amounts of food, especially when in a greedy and sloppy manner."
eat like a pig,"To chew noisily, with one's mouth open, especially while consuming large quantities greedily."
empty as a pauper's purse,Completely empty.
face like a fiddle,A long face; a melancholy expression.
face like a smacked arse,The face of someone who looks depressed.
fair as the day,Very beautiful.
faithful as a dog,Extremely faithful.
faster than a minnow can swim a dipper,Very soon or quickly.
fat as a fool,extremely fat; porky
fat as a house,Very fat; plump; overweight.
fertile as a turtle,Highly fertile.
fight like cat and dog,To fight frequently or irreconcilably.
fine as frog hair,Extremely fine.
fit as a butcher's dog,Very fit; in good shape.
fit as a fiddle,Perfectly fit; in excellent condition or health.
fit as a flea,Very fit; in good shape.
fit as a lop,In good health; very fit.
fit like a glove,"To be a perfect fit, to be exactly the right size."
flat as a pancake,Particularly or extremely flat.
float like a butterfly,To move effortlessly and in an agile fashion.
fly like a rock,to travel through the air with little or no benefit from aerodynamic lift
free as a bird,Having no ties; completely free.
free as the wind,Having no ties; completely free.
fresh as a daisy,Very fresh; well-rested.
fresh as a rose,Extremely fresh.
fresh as paint,very fresh
fresh fucked fox in a forest fire,"Something which is extremely hot, in any sense."
fuck like a mink,To have sex with great enthusiasm.
fuck like rabbits,To have copious amounts of coitus.
full as a goog,Having eaten too much.
full as a tick,"Engorged with food or drink, especially alcoholic drink."
funny as a barrel of monkeys,Very funny.
funny as a dose of the clap,Not at all amusing.
gay as springtime,Overtly or flamboyantly homosexual.
gentle as a lamb,Very caring and calm.
get on like a house on fire,To immediately start a good relationship with someone.
giddy as a windmill,Very dizzy.
go down like a lead balloon,To be received negatively by others.
go down like a lead zeppelin,To fall precipitately; to plummet.
go down like a sack of potatoes,To fall hard and fast; to fall ungracefully.
go like a dream,to go extremely well.
good as gold,Of high and enduring value.
good as one's word,Faithful to a promise one has made.
good as wheat in the bin,"Perfectly good, sound, or reliable."
go out like a light,To fall asleep quickly.
go over like a lead balloon,To fail to gain acceptance: to be received poorly.
go over like a lead zeppelin,To be received negatively by others.
grave as a judge,Thoroughly serious.
green as a gooseberry,Young and inexperienced.
green as grass,Inexperienced or naive.
grin like a mule eating briars,To grin very widely.
grow like a weed,To grow rapidly.
guilty as sin,Unquestionably guilty.
happy as a clam,Very happy and carefree.
happy as a jaybird,Very happy and carefree.
happy as a lark,Very happy (sometimes with the extra connotations of being carefree or unaware of grimmer realities).
happy as a pig in mud,Very happy or content.
happy as a pig in shit,Extremely happy; obviously satisfied and carefree.
happy as a possum up a gum tree,Very happy or content.
happy as a prince,Thoroughly contented.
happy as a sandboy,Very happy.
hard as a rock,"Very hard (tough, inflexible); rock hard."
hard as brazil,Extremely hard.
hard as iron,very hard
hard as nails,Very unsympathetic; callous
hard as the nether millstone,Very callous or hardhearted.
healthy as a horse,Very healthy.
hearty as a buck,"Extremely healthy; extremely lively, high-spirited, or active."
heavy as a dead donkey,Very heavy.
herd cats,To attempt to control the uncontrollable.
high as a kite,Very much under the influence of drugs; extremely high.
high as giraffe pussy,Very high (intoxicated by drugs).
hoarse as a crow,Very hoarse.
homely as a hedge fence,"Having no physically attractive characteristics, but not blatantly ugly; very plain in appearance."
honest as the day,Thoroughly honest.
hot as blazes,Extremely hot.
hot as fire,Very hot
hot as hell,Extremely hot
hung like a donkey,Having a large penis.
hung like a horse,Having a large penis.
hungry as a hog,Very hungry
hungry like the wolf,ravenously hungry
innocent as a lamb,very innocent
innocent as a newborn babe,Entirely innocent.
innocent as the babe unborn,Entirely innocent.
innocent as the child unborn,Utterly innocent.
keen as a bean,Very keen; enthusiastic; eager.
keen as knives,Very keen or eager; avid.
keen as mustard,"Very keen, enthusiastic, eager."
kick like a mule,To have a very strong physical effect.
know like a book,To have an extensive and penetrating understanding of (something or someone).
know like the back of one's hand,To be intimately knowledgeable about something.
larger than life,Of greater size or magnitude than is naturally or normally the case; of larger size than life-size.
laugh like a drain,"To laugh with a loud, coarse sound"
laugh like a hyena,To laugh hysterically
leak like a sieve,To be very leaky.
lie like a cheap rug,To tell numerous or serious lies.
lie like a dog,To lie a lot; to tell many untruths.
life is like a box of chocolates,Life is full of surprises; you never know what will happen next.
light as a feather,"extremely light, having minimal weight"
like a bag of ferrets,"With a great deal of fuss, commotion, or physical jostling."
like a bat out of hell,With crazy or excessive intensity or speed.
like a bear with a sore head,Very irritable; bad-tempered.
like a blue-arsed fly,"To be frantic, harried or restless"
like a boss,"Skillfully, confidently."
like a bowl in a china shop,Misunderstanding or mishearing of like a bull in a china shop.
like a bull in a china shop,"Clumsy, aggressive, without care, concern or self-control."
like a bump on a log,"Idly, listlessly, or uselessly."
like a cat in a strange garret,Having a feeling of uncertainty and misapprehension due to being in an unfamiliar situation.
like a cat on a hot tin roof,"Jumpy, nervous."
like a charm,Very effectively.
like a cow pissing on a flat rock,Heavily; copiously (and often loudly).
like a dog in heat,"Very energetic and enthusiastic, especially when sexually aroused."
like a dog with a bone,Stubborn and tenacious; persistent; relentless; dogged.
like a dog with two dicks,Sexually voracious.
like a dog with two tails,Very happy and excited.
like a dose of salts,Very quickly and thoroughly.
like a drowned rat,Soaked to the point of being highly unattractive; bedraggled.
like a duck takes to water,Very naturally; without effort.
like a dying duck in a thunderstorm,Looking hopelessly sad and dejected.
like a fart in church,In a way that is very poorly received.
like a hawk,"With particular vigilance or attention, implying sharp vision."
like a hen on a hot griddle,Very jumpy or restless.
like a kid in a candy store,Extremely excited as a result of having many options to choose from.
like a knife through butter,With great ease and effectiveness.
like a lamb to the slaughter,"Helplessly and innocently, without knowing the unpleasant consequences."
like a man,"Bravely, decisively, and without complaining."
like a man possessed,In an energetic or uncontrolled way.
like a martin to his gourd,"Straight, unerringly, directly."
like a million bucks,Extremely good or well.
like a million dollars,extremely good or well
like a monkey on a stick,To be restless and agitated.
like a mother hawk,Paying extremely close attention; in an extremely protective way
like a moth to the flame,Inescapably allured by something harmful.
like an explosion in a paint factory,Riotously colorful.
like a pakapoo ticket,Very messily scrawled; illegible.
like a phoenix from the ashes,So as to return triumphantly.
like a raped ape,With great rapidity.
like a rat up a drainpipe,Very rapidly.
like a ripe plum,With no effort on one's part.
like a scalded cat,With great rapidity.
like a scalded dog,With great rapidity.
like a stuck pig,Like a pig or boar being slaughtered.
like atomic clockwork,With absolute regularity and precision; faultlessly.
like a ton of bricks,Very strongly; very heavily; often unexpectedly.
like a train,With unstoppable momentum.
like a wolf on the fold,In a sudden or aggressive manner.
like clockwork,With perfect regularity and precision; faultless.
like crack,Very addicting.
like crazy,"To a great or excessive degree; with great speed, output, enthusiasm, etc."
like death warmed over,"Ill, unwell."
like feeding time at the zoo,"Extremely frenetic, disorderly and messy."
like gangbusters,"Vigorously, rapidly, zealously, or forcibly; in a manner which has considerable impact."
like grease through a goose,Very fast.
like grim death,With savage determination or persistence.
like hot cakes,"Quickly, especially by purchase or consumption."
like it's going out of style,Of engaging in an activity: enthusiastically; to an excessive degree.
like kicking dead whales down the beach,Very slow and difficult.
like molasses,Very slowly and gradually.
like mushrooms,Very quickly and in great quantity.
like nobody's business,In an extreme manner; excessively; like crazy.
like one needs a hole in the head,not (needed) at all
like one o'clock,Very quickly or vigorously.
like one owns the place,With a sense of arrogant superiority.
like one's life depended on it,Desperately.
like peas and carrots,Getting along very well; being compatible; like a house on fire.
like rats from a sinking ship,"Quickly but futilely, away from a failing project."
like riding a bike,"Said of skill that, once learned, is never forgotten."
like shelling peas,"Repetitive, but very easy."
like shit through a goose,Very fast.
like shooting fish in a barrel,Extremely easy; sometimes with a connotation of triumph but at other times with a connotation of being meaningless and unsatisfying.
like stink,very hard
like stink on shit,In very close proximity; following closely.
like strange bulldogs,Wary and unfriendly; on the verge of a fight.
like taking candy from a baby,Very easy to achieve.
like talking to a wall,A futile or unsuccessful attempt at communication due to the ignorance or stubbornness of the other party.
like the back end of a bus,Very unattractive.
like the bottom of a birdcage,Very foul-tasting; said of a person's mouth after heavy drinking etc.
like the cat that got the cream,Very satisfied and happy.
like the clappers,Very hard or very rapidly.
like the new time,"Furiously or vigorously, repeatedly."
like the wind,"quickly, at a high speed."
like throwing a hot dog down a hallway,"Used to describe penetrative sex with a woman who has a large, spacious vagina."
like two peas in a pod,Very similar; a couple made for each other.
like water,Abundantly; consumed rapidly or found in great quantity.
like water off a duck's back,Without immediate or lasting effects.
like white on rice,In very close proximity; following closely.
like winkin,Very quickly.
like winking,Very rapidly; in a flash.
limber as a dishrag,Extremely limber or flexible
live like a fighting cock,To enjoy good food regularly.
live like a king,"To live in luxury, in costly and comfortable surroundings."
long as one's arm,Very long.
look as if one has been dragged through a hedge backwards,To look extremely dishevelled.
look like a bomb has hit it,to be very messy.
look like something the cat dragged in,To have a very dishevelled or untidy appearance.
look like who did it and ran,To appear messy or dishevelled.
loose as a goose,Very loose (in various senses).
lower than a snake's belly,Deeply low.
mad as a bear with a sore head,Very angry.
mad as a cut snake,"Very irate, crazy with rage."
mad as a hatter,Crazy or demented.
mad as a hornet,Extremely angry
mad as a meat axe,Very irate; crazy with rage.
mad as a mongoose,Demented or crazy.
mad as a wet hen,Very angry; furious.
make out like a bandit,To profit greatly; to get an excessively good deal
merry as a cricket,Very merry or cheerful.
merry as a grig,Very merry or cheerful.
midnight in a coal mine,A state of pitch-blackness.
mild as milk,"Very mild, in temperament or otherwise."
mind like a sieve,very poor memory
mind like a steel trap,A remarkably efficient mind; great skill in learning and/or reasoning.
miserable as a wet hen,Thoroughly miserable or dejected.
modern as next week,Thoroughly modern; completely up to date.
naked as a jaybird,"Stark naked; nude; especially, naked in a public setting and without embarrassment."
near as a toucher,Very close indeed; as near as possible without actually touching.
neat as a button,Very neat.
neat as a new pin,Very clean or tidy
neat as a pin,Very neat and tidy.
neat as ninepence,"Neat, tidy, in order."
nervous as a cat,Very nervous.
nervous as a long-tailed cat in a room full of rocking chairs,Extremely nervous.
nervous as a whore in church,Very nervous.
nice as ninepence,Perfectly all right; fine.
nice as pie,Very nice.
not as green as one is cabbage-looking,Not as naive or foolish as might be expected.
nuttier than squirrel poop,Very nutty; crazy.
nuttier than squirrel shit,Very nutty; crazy.
nutty as a fruitcake,"Behaving in an eccentric, foolish, or kooky manner; very nutty."
odious as a toad,Very odious; hateful.
off like a bride's nightie,Making a rapid departure; away.
off like a dirty shirt,Going away; taking one's departure.
off like a prom dress,"Making a start, or departing, very rapidly."
old as the hills,Extremely old.
old as time,Extremely old.
older than dirt,very old
original as sin,Very original.
out like a light,"Asleep or unconscious, particularly if this has occurred suddenly and the sleep is deep."
packed like sardines,Densely packed; tightly squeezed together; crammed.
pale as death,extremely pale
pale as milk,Very pale.
paper wall,"A thin wall, especially if poorly soundproof."
party like it's 1999,"To party intensely, particularly when reckless or pessimistic."
pass up like a white chip,To reject or ignore; to treat as worthless.
pert as a pearmonger,Very pert.
phony as a three-dollar bill,Extremely phony; fake; dishonest; completely bogus.
pissed as a fart,Very drunk.
pissed as a newt,Drunk to the point of incapacity; inebriated.
pissed as a parrot,Very drunk.
plain as day,Very clear and evident.
plain as porridge,Very clear and evident.
playful as a kitten,Very playful
plenty as blackberries,"Very plentiful, very abundant."
poor as a barber's cat,Very poor (lacking money).
poor as a church mouse,"Very poor, to the point of starving or begging; utterly destitute."
pretty as a picture,Very visually attractive.
pretty as a speckled pup,Very pretty.
proud as a peacock,Extremely proud.
pure as the driven snow,"Extremely pure; totally pure (typically ""pure"" in the sense of ""virtuous"")."
quack like a duck,To appear to be exactly what one is.
queer as a clockwork orange,"Strange, odd, unusual."
queer as a coot,Ostentatiously homosexual.
quick as a flash,Extremely quick.
quick as a wink,In a speedy or fast manner.
quick as lightning,Extremely quick.
quick as thought,Very quick.
quicker than scat,"very quickly, in a great hurry."
quiet as a grave,Very quiet
quiet as a mouse,"Very quiet, so as to not be heard."
rare as a four-leaf clover,Exceptionally rare.
rare as hen's teeth,Extremely uncommon.
rare as rocking horse shit,Extremely rare or scarce.
read like a book,"To be able to discern someone's thoughts from their body language or other behavior, especially in great detail and with little effort."
red as a beetroot,Bright red in colour; used of the human face when a person is embarrassed.
red as a lobster,"Bright red in color, especially from a bad sunburn."
red rag to a bull,Something that will enrage another particular person.
remember like it was yesterday,"to remember very well, especially something that happened long ago"
right as a trivet,In a perfect state; thoroughly sound.
right as ninepence,Perfectly all right; in sound condition.
right as rain,Very good; all in order; healthy.
run for the exercise,To run for political office with little chance of success.
run like a dry creek,To run for political office with little chance of success.
run like a top,To operate flawlessly and smoothly.
safe as a kitten,In a state of complete safety.
safe as houses,Very secure.
sell like hot cakes,To be sold in large numbers quickly.
shake like a leaf,"To tremble, as with fear, cold, etc.; to shiver."
sharp as a bowling ball,Not at all sharp-witted; very stupid.
sharp as a butter knife,Not very intelligent.
sharp as a tack,Very intelligent.
ships that pass in the night,"Two or more people who encounter one another in a transitory, incidental manner and whose relationship is without lasting significance; two or more people who almost encounter one another, but do not do so."
sick as a cat,Very ill.
sick as a dog,Very ill.
sick as a horse,Very ill.
sick as a parrot,Extremely sick; very ill.
silent as a grave,Extremely quiet
silent as the grave,Saying absolutely nothing (especially about a particular subject).
single as a dollar bill,Very much single; having no romantic involvement with anybody else.
sing like a bird,To have a beautiful singing voice.
sink like a stone,"To sink immediately, with no chance of floating."
skinny as a rail,"Especially of a person, very skinny."
sleep like a baby,"To sleep very well, especially peacefully."
sleep like a log,"To sleep heavily, long and without disturbance."
slick as a whistle,Smooth and skillful; performed with ease and grace.
slick as snot,Very slick.
slippery as an eel,So slippery that it is almost impossible to hold.
slow as a snail,Extremely slow
slow as tar,Very slow.
sly as a fox,"Very sly, very cunning."
smart as a whip,Very intelligent.
smart as paint,Very smart in appearance.
smell like a rose,"To be regarded as appealing, virtuous, or respectable; to be untainted or unharmed."
smell like a tart's handbag,To smell strongly of perfume.
smoke like a chimney,To smoke tobacco frequently.
smooth as a baby's bottom,Extremely smooth.
smooth as butter,Extremely smooth.
smooth as eggs,Very smooth.
smooth as oil,Extremely smooth.
smooth as silk,Extremely smooth (in any sense).
snug as a bug in a rug,Very cosy and comfortable.
sober as a judge,Completely sober.
soft as a baby's bottom,Extremely soft (not rough).
soft as silk,"very soft, soft as a baby's bottom"
solid as a rock,"Extremely thick and heavy, so as to make it impossible to move."
sound as a barrel,"healthy, enjoying good health"
sound as a bell,In excellent condition.
sound as a roach,Perfectly sound.
spend money like water,To spend a lot of money without concern over whether it is spent wisely.
spread like wildfire,To spread or disseminate rapidly or uncontrollably.
squeal like a stuck pig,"To utter loud, high-pitched squeals."
stare like a stuck pig,To be dumbstruck.
steady as a rock,Extremely stable physically.
stick like shit,"To be very tenacious, or be very difficult to get rid of."
stick out like a sore thumb,To be very noticeably (and undesirably or humorously) different; to be prominently out of place; to be particularly obtrusive or conspicuous (usually unintentionally); to attract unwanted attention or notice.
stick out like dog's balls,"Be very noticeably different, especially in a negative way; to be particularly obtrusive, conspicuous, blatant, or prominent; to attract undue attention or notice."
stiff as a board,Very stiff.
stiff as a poker,Very stiff.
still as a stock,stock still
sting like a bee,to deliver a powerful punch
stink like a mackerel,To reek; to smell terrible.
stink like a polecat,"To have a bad smell, mostly referring to human body odor."
stitched up like a kipper,cheated or exploited; treated unfairly
straight as a die,Completely or totally straight.
straight as an arrow,Very straight; travelling in a very straight trajectory.
straight as a soldier,Perfectly straight (immobile).
strong as a bull,Very strong.
strong as a horse,Very strong.
strong as an ox,Very strong and powerful.
stubborn as a mule,Extremely stubborn
stuffed like a turkey,Very full from overeating.
sure as a gun,Surely; with certainty.
sure as death,Most certainly.
sure as death and taxes,Totally certain.
sure as eggs,surely; doubtlessly
sure as eggs is eggs,Most certainly.
sure as fate,surely; with certainty
sure as shit,sure enough
sure as shooting,Absolutely certain.
sure as sugar,Sure enough.
sure as taxes,Most certainly.
sure as the sun is going to come up tomorrow,Surely; certainly.
sure as the world,sure enough
swear like a trooper,To swear a lot; to utter many swear words.
sweat like a hooker in church,To sweat profusely; to produce a lot of perspiration.
sweat like a pig,To sweat profusely; to produce a lot of perspiration.
sweat like a whore in church,To sweat profusely; to produce a lot of perspiration.
sweet as a nut,Extremely good.
sweet as pie,"Extremely sweet (in the sense of cute, lovely)."
swim like a fish,To be a very strong swimmer.
talk like a book,"To talk pedantically, or using excessively difficult or literary words."
talk like an apothecary,To prattle.
there's nowt so queer as folk,Nothing is as strange as people can be; people can behave very oddly sometimes.
thick as a brick,Very stupid; slow to learn or understand. Kieran Bradley
thick as a plank,Very stupid.
thick as mince,Very stupid
thick as two short planks,Very stupid.
thin as a barber's cat,Very thin.
thick as pig shit,Extremely stupid.
thick as thieves,"Intimate, close-knit, tight."
thin as a rail,"Very thin, unhealthily thin."
thin as a rake,"Incredibly thin, at an unhealthy-looking level of thinness."
thin as a wafer,Extremely thin.
tight as a drum,Completely tight.
tight as a duck's arse,Extremely tight; mean; excessively thrifty.
tight as a tick,"Drunk, inebriated."
timid as a mouse,Very timid.
timid as a rabbit,Very timid.
tough as nails,"Having a hard, strong, and determined mindset."
tough as old boots,Very tough; very strong.
tough as teak,Very tough.
treat like dirt,"To treat someone badly, especially with disrespect or contempt."
ugly as bull-beef,Very ugly.
ugly as sin,Extremely ugly.
useful as a chocolate teapot,Totally useless.
useful as tits on a bull,Totally useless.
voice like a foghorn,"A very loud, unpleasant voice."
warm as life,Very warm.
warm as toast,Very pleasantly warm.
watch like a hawk,To observe (someone or something) closely and keenly.
weak as piss,Very weak (in various senses).
weak as water,Very weak.
wetter than an otter's pocket,"Completely wet, drenched, soaked."
white as a ghost,"Very white, especially of a person's face as a result of fear."
white as a sheet,"Very white or pale, as if suffering from shock."
white as driven snow,extremely white; totally white (of a color).
white as snow,Very white.
wise as an owl,Very wise.
wisht as a winnard,"Sickly, weak."
work like a dog,To work very hard.
work like a horse,To work very hard; to toil.
work like a mule,To work very hard; to toil.
work like a nailer,To work very hard.
a bad penny always turns up,"A person or thing which is unpleasant, dishonorable, or unwanted tends to appear (or reappear), especially at inopportune times."
a bad tree does not yield good apples,Bad parents do not raise good children.
a bad workman always blames his tools,"It is not the tools we use that make us good, but rather how we employ them."
a bird in the hand,Short for a bird in the hand is worth two in the bush.
a bird in the hand is worth two in the bush,A sure thing is preferable to the mere chance at something more.
a buck's a buck,"Every dollar of income counts toward one's financial well-being; money is a strong motivator, even in unpleasant situations."
a burnt child dreads the fire,A person harmed by something becomes more cautious about it.
a camel is a horse designed by a committee,Too many people on one project can spoil it by having conflicting or inexperienced ideas.
a cat in gloves catches no mice,One cannot obtain what one desires by being cautious; one must be aggressive.
a cat may look at a king,"A purported inferior has certain rights or prerogatives, even in the presence of a purported superior."
accidents will happen in the best regulated families,"Accidents will always happen, even where there is an expectation of success."
